smiles,name
C1CC(c2c(S1)ccc(c2)C#Cc1ncc(cc1)C(=O)OCC)(C)C,209
c1c2c(c(cc1)S(=O)(=O)N1CCNCCC1)ccnc2.Cl,210
c1(ccc(cc1)c1ccccc1c1nn[nH]n1)Cn1c2c(nc1OCC)cccc2C(=O)O,211
C1C(=O)C=C2C(=C3[C@@H](CC2)[C@H]2[C@](C=C3)([C@@](CC2)(CC=C)O)C)C1,212
n1c(c2c(n1c1ccc(cc1)OC)C(=O)N(CC2)c1ccc(cc1)N1C(=O)CCCC1)C(=O)N,213
c12c([C@@H]3N(CC1)C[C@@H]1[C@H](C3)[C@@H]([C@H]([C@@H](C1)OC(=O)c1cc(c(c(c1)OC)OC)OC)OC)C(=O)OC)[nH]c1c2ccc(c1)OC,214
c1(cc(c(cc1NCc1ccco1)Cl)S(=O)(=O)N)C(=O)O,215
[C@@H]12N(C(=C(CS1)C=C)C(=O)O)C(=O)[C@H]2NC(=O)/C(=N\\O)/c1nc(sc1)N,216
c1cccc(c1)C(c1c(cccc1)Cl)(c1ccccc1)n1cncc1,217
c1cc(cc2c1[nH]cc2CCN(C)C)Cn1cncn1.c1cc(ccc1)C(=O)O,218
c1c(ccc[n+]1C)OC(=O)N(C)C.[Br-],219
[nH]1ccn(c1=S)C,220
c1(c(cc2c(c1)NC(N(C2=O)c1ccccc1C)C)S(=O)(=O)N)Cl,221
